PIB Estadual - preços de mercado (preços de 2010)
Sigla;Código;Estado;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
PI;22;Piauí;13686306,246185;13501233,0359371;13531195,8334005;14011771,0478463;14535992,6872444;15408194,2018157;17998788,6917879;17385344,8886414;18853049,5829374;20542372,5019243;22269149;23949131,4174343;24492882,8930317;24888098,7343743;27827881,1217793;26848544,7846529;26274246,5839546;27760001,7986745;29501799,1727328;29655893,0190785;29758393,8083522;29888156,9302028;31315822,8538689;33083934,0975369;
PR;41;Paraná;156059280,106285;159389544,783844;167625427,831851;183228189,518471;190772123,257528;183348423,593448;185435196,515462;209099867,153193;216048481,391995;213242264,223123;225205255;237375933,099808;244281692,443717;265305581,651983;256774855,404278;258518119,624667;254904519,517259;257922232,85373;257682944,26005;262042853,022571;257487269,123921;256725236,45715;264257234,011458;274314233,617563;
RJ;33;Rio de Janeiro;315489603,966096;317261082,328604;350143884,264495;337420052,882729;372741605,975092;388130919,632976;403797245,777992;409695072,647852;440146349,081186;424640930,528182;449858101;473388634,856083;491680466,513012;499794011,281884;495040177,171561;452032276,123011;406260347,043672;410967755,276631;444390834,285535;438217409,406562;397802497,185184;443129821,520038;495962497,694854;479544107,906208;
RN;24;Rio Grande do Norte;20587521,0016331;21575150,493844;25773476,8419505;24752656,7237413;26660476,3646423;28720959,4692869;30836808,7582513;33310219,7302645;33624650,2554638;33547323,6631388;36184502;37844772,6842572;39694855,7591519;40986227,012307;39851396,7420183;39262191,441579;37858387,1152176;39350010,9888594;39217638,1721609;40081933,5295134;37772162,7621913;37428047,0983531;40338413,3619142;41597866,2488479;
RO;11;Rondônia;13423114,6323477;13660067,5560053;14186598,6311775;15693717,8754286;17005692,2685109;17997344,5991;17586872,3199078;18274213,2413917;20112222,566085;21386514,3291063;23907887;25457046,1406061;25754432,4742259;24759074,1733931;25103985,4961859;25074844,3685264;25033024,5970959;26628323,8855541;26301801,6763555;26459167,3379144;27229321,2881062;27153569,1750679;28719281,2131514;31260126,9058883;
RR;14;Roraima;4010712,92796203;4240899,23061561;4544254,61405176;4319441,07857813;4362062,95968993;4593516,8160657;5122536,03940416;5319991,46344217;5633644,93738578;6149744,64458231;6639150;6742811,96827722;6595367,543308;7168607,94948634;7188046,97910468;7024503,17526034;6986622,51690733;7407092,17184098;7829517,41195699;8030360,95269113;8456217,17036254;8496891,66190367;9070124,12049129;10272611,0964255;
RS;43;Rio Grande do Sul;184692708,896004;192548352,335502;187784572,651338;198690414,893878;202733945,002213;196147926,363434;198872223,399009;212644831,709698;221337839,378755;221557605,668659;241249164;244700757,802082;245963847,214713;264360112,772289;263954132,102127;261967502,251603;259329579,577804;259006660,276465;267793135,3823;271081720,718056;248522087,636747;271340907,131676;255237909,375855;265804913,035598;
SC;42;Santa Catarina;97774525,3101128;101683316,113484;103501746,693095;106731280,167895;113764863,471873;117302656,908542;122677629,954288;131285490,30242;141342264,512951;139972941,389846;153726007;160700317,862658;164035743,494831;170658206,000443;178926846,94303;170816846,990352;162881081,352965;169666714,166131;174642953,596687;181631977,62456;184316931,852512;200055185,20999;200478571,458659;209907553,561777;
SE;28;Sergipe;14763285,4439487;16726560,8316049;19629111,9454298;19564382,3733313;20608786,7438354;20756675,3274104;22120202,1786827;23058537,9011901;24920895,4709397;23535717,5213037;26404893;26872830,7890088;28098259,859223;28112036,5056683;27642675,4136807;26441763,094749;24663228,7791926;24912100,675416;24605894,4746082;25109640,3156173;23963261,817487;24208693,6644017;24667689,8965766;24865702,1182358;
SP;35;São Paulo;957523390,171416;966761972,02534;985737842,746092;984838500,382781;1009025308,9003;1068813237,905;1110778268,77819;1184227764,34872;1212990401,23952;1222032752,32794;1294695988;1326339901,18492;1333390725,20044;1364581845,67508;1370754649,80087;1330369373,27985;1293355280,70378;1297732717,48616;1294513747,49963;1319458596,54488;1254710763,06969;1269569050,53035;1345913753,20762;1408458089,94411;
TO;17;Tocantins;8288746,18062715;10102491,6584477;10111516,6351514;11010299,4864402;11206011,8944806;11086448,0815724;11660552,0689374;12900772,5517219;14097769,8422273;14842942,5084528;16404816;16936785,8501511;17690721,91761;18931761,5810927;19319348,0207808;19840164,5813083;20036905,2857007;20871387,947725;20886256,6530759;22112887,7859843;23034564,1582523;24171054,7357095;25027373,4295181;26297147,7169258;
