UF,Ano,urban
11,2012,0.27842637566658346
11,2013,0.2806319124830605
11,2014,0.2825303068690232
11,2015,0.2843269215543003
11,2016,0.28603200731391126
11,2017,0.28765059907364543
11,2018,0.29559299699759156
11,2019,0.2979611472942368
11,2020,0.3002315665252775
11,2021,0.3024065735385985
12,2012,0.4590938683634121
12,2013,0.46002707147668337
12,2014,0.4606094663846774
12,2015,0.46116242052088763
12,2016,0.4616909538170682
12,2017,0.46219168075948114
12,2018,0.461487578586507
12,2019,0.4618469615107689
12,2020,0.4621932541057833
12,2021,0.4625240937018953
13,2012,0.5184755714657677
13,2013,0.520540473397426
13,2014,0.5215371799316578
13,2015,0.5224823377182648
13,2016,0.5233796315385563
13,2017,0.524228925286703
13,2018,0.5257653817038674
13,2019,0.5266526516329573
13,2020,0.5275025821621907
13,2021,0.5283151385423168
14,2012,0.6324682018384576
14,2013,0.6330951171138685
14,2014,0.6336832107152631
14,2015,0.6342420377127149
14,2016,0.6347736125344934
14,2017,0.6352796209981708
14,2018,0.6510489656033633
14,2019,0.6590272401161514
14,2020,0.664867922196644
14,2021,0.6688866316436167
15,2012,0.31083940183464714
15,2013,0.30870160737216445
15,2014,0.3071868152338318
15,2015,0.30575357184665214
15,2016,0.30440457097323687
15,2017,0.3273223095373668
15,2018,0.3279419726112548
15,2019,0.3506212174665068
15,2020,0.3500317866880227
15,2021,0.3494637879104818
16,2012,0.5948365449855568
16,2013,0.5949093600509391
16,2014,0.5949525377141396
16,2015,0.5949960804978355
16,2016,0.595037677602439
16,2017,0.5950769817054061
16,2018,0.595102556498299
16,2019,0.5951384068929719
16,2020,0.5951706539889274
16,2021,0.5952019853853577
17,2012,0.17074911793377132
17,2013,0.17447590389158443
17,2014,0.1773081342525787
17,2015,0.18000219123690042
17,2016,0.1825661392574346
17,2017,0.18500071603941184
17,2018,0.18766046672226405
17,2019,0.19017958300325646
17,2020,0.1926089515597567
17,2021,0.19494600784017052
21,2012,0.19207814826652433
21,2013,0.19213013965675055
21,2014,0.1921674633521747
21,2015,0.19220302419918425
21,2016,0.19223484031431531
21,2017,0.19234185053088979
21,2018,0.192277530168563
21,2019,0.19230122876008401
21,2020,0.19232456984920301
21,2021,0.19234749125643658
22,2012,0.26266915299796123
22,2013,0.26269830153327434
22,2014,0.26312181544662155
22,2015,0.2634948883093406
22,2016,0.26381771880778787
22,2017,0.26409758525026117
22,2018,0.2638792524868044
22,2019,0.2642178498466498
22,2020,0.2645376476467935
22,2021,0.2648370925032454
23,2012,0.38407333019211587
23,2013,0.3845672692245303
23,2014,0.3850452871723419
23,2015,0.40815528489715097
23,2016,0.40864967815055075
23,2017,0.40911671910301695
23,2018,0.40899851900398526
23,2019,0.40973916341932254
23,2020,0.41016814549700814
23,2021,0.41057985537704345
24,2012,0.4022513488949563
24,2013,0.40417088648676525
24,2014,0.4055481720751883
24,2015,0.4068648456281276
24,2016,0.4081216737390928
24,2017,0.4093261397267125
24,2018,0.4103204647299088
24,2019,0.4114711965400318
24,2020,0.41258232142528717
24,2021,0.41365631133451264
25,2012,0.2968341392823546
25,2013,0.29879489201595844
25,2014,0.30012284840962655
25,2015,0.3012208341871838
25,2016,0.30241222778831406
25,2017,0.30354301192530325
25,2018,0.30221348901637834
25,2019,0.3033119659980882
25,2020,0.3043410986669149
25,2021,0.3053337454940448
26,2012,0.3946669969011406
26,2013,0.3949874844573793
26,2014,0.3951793364905003
26,2015,0.4168049109417236
26,2016,0.41703579978440725
26,2017,0.4172559917561694
26,2018,0.4172439269466594
